BD,ID,SMILES
LASR-ANTAGONISTA,CH175,CCCCCCCCCCCCn1nnc(CC(O)=O)n1
LASR-ANTAGONISTA,LO21,CCCCCCCCCCCCn1nnc(CC(=O)O)n1
LASR-ANTAGONISTA,CH176,CCCCCCCCCCCC(N[C@@H](CCS1)C1=O)=O
LASR-ANTAGONISTA,MA1,[H][C@]1(NC(=O)CCCCCCCCCCC)CCOC1=O
LASR-ANTAGONISTA,MU4,Cc1ccccc1C(=O)Oc2c(Br)cc(Br)cc2CNC(=O)c3ccccc3Cl
LASR-ANTAGONISTA,CH191,CCCCCC(CC(N[C@@H](CCO1)C1=O)=O)=O
LASR-ANTAGONISTA,LO14,CCCCCC(=O)CC(=O)N[C@H]1CCOC1=O
LASR-ANTAGONISTA,MU3,O=C(NCc1cc(Br)cc(Br)c1OC(=O)c2ccc(F)cc2)c3ccccc3Cl
LASR-ANTAGONISTA,CH190,CCCCCCCCCC(N[C@@H](CCO1)C1=O)=O
LASR-ANTAGONISTA,LO9,CCCCCCCCCC(=O)N[C@H]1CCOC1=O
LASR-ANTAGONISTA,CH177,O=C(CCc(cc1)ccc1Br)N[C@@H](CCO1)C1=O
LASR-ANTAGONISTA,LO10,O=C(CCc1ccc(Br)cc1)N[C@H]2CCOC2=O
LASR-ANTAGONISTA,GE3,O=C(Cc1cccc(N(=O)=O)c1)N[C@H]2CCOC2=O
LASR-ANTAGONISTA,CH171,[O-][N+](c1cc(CC(N[C@@H](CCO2)C2=O)=O)ccc1)=O
LASR-ANTAGONISTA,MA2,[H][C@]2(NC(=O)Cc1cccc(N(=O)=O)c1)CCOC2=O
LASR-ANTAGONISTA,YA3,N=c2[nH]c(=O)c1nn[nH]c1[nH]2
LASR-ANTAGONISTA,YA1,O=c1[nH]cnc2[nH]nnc12
LASR-ANTAGONISTA,MU5,Cc3cc(C)c(OC(=O)c1ccc(Cl)cc1Cl)c(CNC(=O)c2ccccc2Cl)c3
LASR-ANTAGONISTA,CH173,O=C(CCCCCCCCCNC(CCl)=O)CC(N[C@@H](CCO1)C1=O)=O
LASR-ANTAGONISTA,MA3,[H][C@]1(NC(=O)CC(=O)CCCCCCCCCNC(=O)CCl)CCOC1=O
LASR-ANTAGONISTA,ME2,O=C(CCCCCCCCCNC(=O)CCl)CC(=O)N[C@H]1CCOC1=O
LASR-ANTAGONISTA,OB15,O=C(CCn1c(=O)ccc1=O)Oc2c(Br)cc(Br)cc2CNC(=O)c3ccccc3N(=O)=O
LASR-ANTAGONISTA,CH193,O=C(Cc(cc1)ccc1I)N[C@@H](CCO1)C1=O
LASR-ANTAGONISTA,LO11,O=C(Cc1ccc(I)cc1)N[C@H]2CCOC2=O
LASR-ANTAGONISTA,CH189,CCCCCCCC(N[C@@H](CCO1)C1=O)=O
LASR-ANTAGONISTA,LO12,CCCCCCCC(=O)N[C@H]1CCOC1=O
LASR-ANTAGONISTA,MC2-12,O=C(CCc2cc1ccccc1[nH]2)N[C@H]3CCSC3=O
LASR-ANTAGONISTA,YA2,NC(Cc1cccc(F)c1)C(=O)O
LASR-ANTAGONISTA,PE1<,O=c1cc(Br)c(=CBr)o1
LASR-ANTAGONISTA,YA5,O=C(O)c1c[nH]c2ccccc12
LASR-ANTAGONISTA,HA1,O=C(N[C@H]1CCOC1=O)c4ccc(n3cc(CSc2ccccc2)nn3)cc4
LASR-ANTAGONISTA,MO8,O=C(CCc1ccc(C(F)(F)F)cc1)N[C@H]2CCOC2=O
LASR-ANTAGONISTA,ME3,O=C(CCCCCCCCNC(=O)CCl)CC(=O)N[C@H]1CCOC1=O
LASR-ANTAGONISTA,MC2-2,CCCCCCCCCC(=O)CC(=O)N[C@H]1CCSC1=O
LASR-ANTAGONISTA,ST2,CCCCCc2cn(CC(=O)N[C@H]1CCOC1=O)nn2
LASR-ANTAGONISTA,OB12,CCC(=O)Oc1c(Br)cc(Br)cc1CC(=O)Nc2ccccc2N(=O)=O.O=c1ccc(=O)[nH]1
LASR-ANTAGONISTA,YA4,NC(C(=O)O)C(O)c1ccccc1
LASR-ANTAGONISTA,ME7,O=C(CCCCCCCCCCN=C=S)CC(=O)N[C@H]1CCOC1=O
LASR-ANTAGONISTA,ST9,Nc3cccc(n2cc(CCC(=O)N[C@H]1CCOC1=O)nn2)c3
LASR-ANTAGONISTA,MC2-8,O=C(Cc1cccc(N(=O)=O)c1)N[C@H]2CCSC2=O
LASR-ANTAGONISTA,CH192,O=C(COc(cc1)ccc1OC(F)(F)F)N[C@@H](CCO1)C1=O
LASR-ANTAGONISTA,LO13,O=C(COc1ccc(OC(F)(F)F)cc1)N[C@H]2CCOC2=O
LASR-ANTAGONISTA,GE2,CCCCCCCCCC(=O)CC(=O)Nc1ccccc1
LASR-ANTAGONISTA,ME1,O=C(Cc1ccc(Br)cc1)N[C@H]2CCOC2=O
LASR-ANTAGONISTA,OR2-8,O=C(NCCc1ccc(Br)cc1)c2ccccc2N(=O)=O
LASR-ANTAGONISTA,MO16,CCCCCCCCCNC(=O)CC(=O)c1ccccc1
LASR-ANTAGONISTA,PE4,CCCCCCCSCC(=O)N[C@@H]1CCOC1=O
LASR-ANTAGONISTA,OR2-7,O=C(NCc1cccc(I)c1)c2ccccc2N(=O)=O
LASR-ANTAGONISTA,OR2-2,O=C(NCc1cc(F)cc(F)c1)c2ccccc2N(=O)=O
LASR-ANTAGONISTA,SK5,Nc2ccc(S(=O)(=O)Nc1nccs1)cc2
LASR-ANTAGONISTA,OR2-5,O=C(NCc1cccc(Cl)c1)c2ccccc2N(=O)=O
LASR-ANTAGONISTA,OR2-6,O=C(NCc1cccc(Br)c1)c2ccccc2N(=O)=O
LASR-ANTAGONISTA,OR2-9,O=C(NCc1ccccc1N(=O)=O)c2ccccc2N(=O)=O
LASR-ANTAGONISTA,CH174,CCCCCCCCCC(CC(NC(CCCC1)C1=O)=O)=O
LASR-ANTAGONISTA,MC2-6,CCCCCCCCCCCC(=O)N[C@H]1CCSC1=O
